epoch,train_loss,train_loss_cls,train_loss_iou,train_loss_dfl,train_loss_pose_cls,train_loss_pose_reg,val_loss,val_loss_cls,val_loss_iou,val_loss_dfl,val_loss_pose_cls,val_loss_pose_reg,ap,ar,ap_0.50,ap_0.75,ar_0.50,ar_0.75
0,3207.45,3186.315,0.9979,0.0179,0.5608,19.5585,23.2923,1.0382,1.0435,0.018,0.1977,20.9949,0.0,0.0,0.0,0.0,0.0,0.0
1,23.6496,0.7005,1.0737,0.02,0.0546,21.8007,23.3755,0.489,1.0608,0.0185,0.0244,21.7828,0.0,0.0,0.0,0.0,0.0,0.0
2,22.7302,0.4635,1.0132,0.0185,0.016,21.2191,22.3715,0.4141,0.9992,0.017,0.0108,20.9304,0.0,0.0,0.0,0.0,0.0,0.0
3,21.4673,0.4162,0.9428,0.0166,0.0096,20.0821,21.3024,0.4071,0.9277,0.0153,0.0075,19.9448,0.0005,0.0013,0.002,0.0066,0.0,0.0003
4,20.3458,0.417,0.8702,0.0143,0.0065,19.0379,20.0402,0.438,0.8336,0.0131,0.0046,18.751,0.0006,0.0046,0.0032,0.0222,0.0,0.0
5,18.6887,0.3841,0.7998,0.0126,0.0045,17.4878,18.3816,0.4014,0.7668,0.0115,0.004,17.198,0.0036,0.017,0.017,0.0604,0.0006,0.0056
6,16.0888,0.3628,0.7318,0.0113,0.0033,14.9796,15.8283,0.3753,0.6949,0.0102,0.0027,14.7453,0.0111,0.0558,0.0404,0.1358,0.0034,0.0389
7,13.525,0.3531,0.6605,0.0102,0.003,12.4982,13.1184,0.3621,0.6272,0.0093,0.0021,12.1176,0.0293,0.1087,0.0765,0.2108,0.0181,0.0972
8,11.8061,0.3465,0.6028,0.0097,0.0024,10.8447,11.3426,0.3417,0.5707,0.0087,0.0017,10.4197,0.0545,0.1587,0.113,0.275,0.0475,0.1517
9,10.6234,0.3203,0.5649,0.0093,0.0022,9.7266,9.9845,0.3213,0.5287,0.0084,0.0019,9.1241,0.0781,0.2052,0.157,0.3302,0.066,0.2024
