epoch,train_loss,train_loss_cls,train_loss_iou,train_loss_dfl,train_loss_pose_cls,train_loss_pose_reg,val_loss,val_loss_cls,val_loss_iou,val_loss_dfl,val_loss_pose_cls,val_loss_pose_reg,ap,ar,ap_0.50,ap_0.75,ar_0.50,ar_0.75
0,22.4131,0.1761,1.2191,0.026,0.1243,20.8675,23.3514,0.1284,1.237,0.0251,0.0046,21.9564,0.0,0.0007,0.0002,0.0038,0.0,0.0
1,22.5904,0.1661,1.1282,0.0224,0.0078,21.2659,22.365,0.148,1.1152,0.0194,0.0025,21.0799,0.0018,0.0058,0.0114,0.0226,0.0004,0.0024
2,22.289,0.1649,1.045,0.0195,0.0046,21.0551,21.6558,0.1583,0.9843,0.0174,0.0019,20.494,0.0042,0.0226,0.0167,0.0726,0.0018,0.0118
3,20.3719,0.1844,0.9342,0.018,0.0036,19.2317,18.7567,0.1845,0.8561,0.0163,0.0016,17.6982,0.0229,0.0714,0.077,0.1878,0.0086,0.0469
4,16.1974,0.2352,0.7685,0.016,0.0019,15.1758,14.3879,0.2342,0.7122,0.0145,0.0012,13.4259,0.0717,0.1781,0.1629,0.3347,0.0607,0.1715
5,13.1286,0.2476,0.6588,0.0146,0.0015,12.2062,11.4112,0.2441,0.6074,0.0133,0.001,10.5454,0.1267,0.2694,0.2129,0.4094,0.1262,0.2795
6,11.0968,0.2485,0.5864,0.0143,0.0013,10.2463,9.524,0.2433,0.5393,0.013,0.0008,8.7275,0.1643,0.3307,0.2437,0.4524,0.1726,0.3483
7,9.8023,0.2442,0.5407,0.0141,0.0013,9.002,8.2827,0.2355,0.4823,0.0129,0.0008,7.5512,0.1882,0.3723,0.2561,0.4729,0.1977,0.3892
8,8.909,0.2396,0.5085,0.0141,0.0011,8.1458,7.3657,0.2312,0.4406,0.0129,0.001,6.68,0.2045,0.4011,0.2607,0.4878,0.2138,0.4177
9,8.1149,0.2349,0.481,0.014,0.0012,7.3837,6.7236,0.2268,0.4218,0.013,0.0014,6.0606,0.2198,0.4263,0.273,0.5024,0.2323,0.4469
10,7.3413,0.2394,0.4646,0.014,0.0012,6.6222,6.214,0.2224,0.4112,0.013,0.0012,5.5662,0.2305,0.436,0.2762,0.5021,0.2419,0.4524
11,6.2071,0.2462,0.4501,0.014,0.0012,5.4956,5.1333,0.2327,0.3907,0.013,0.0011,4.4957,0.2431,0.4457,0.286,0.509,0.2522,0.4597
12,5.7122,0.2465,0.4342,0.0141,0.001,5.0165,4.4225,0.2361,0.3781,0.0132,0.0011,3.7941,0.2434,0.4504,0.289,0.5122,0.2518,0.4628
13,5.3341,0.2449,0.4234,0.0142,0.0007,4.6508,4.1221,0.2337,0.3707,0.0133,0.0013,3.5031,0.2491,0.4663,0.2924,0.5267,0.256,0.4792
14,5.0843,0.2439,0.4107,0.0142,0.0009,4.4145,3.9229,0.2322,0.3666,0.0134,0.0013,3.3094,0.248,0.4686,0.2884,0.5243,0.2579,0.4806
15,4.8674,0.2409,0.4017,0.0141,0.0011,4.2096,3.7506,0.2303,0.3601,0.0134,0.0011,3.1456,0.2524,0.4665,0.2922,0.5205,0.2583,0.4736
16,4.6761,0.2388,0.3985,0.0141,0.0011,4.0235,3.6164,0.2337,0.3494,0.0135,0.0012,3.0186,0.2617,0.4727,0.2999,0.5236,0.2698,0.4819
17,4.5512,0.2361,0.3931,0.0141,0.001,3.9069,3.4816,0.2353,0.3411,0.0135,0.0009,2.8907,0.2433,0.4662,0.2797,0.5139,0.2497,0.476
18,4.3734,0.2372,0.3895,0.014,0.0007,3.7319,3.3966,0.2323,0.341,0.0134,0.0009,2.809,0.251,0.4703,0.2869,0.5177,0.254,0.4771
19,4.3121,0.2368,0.3851,0.0141,0.001,3.6751,3.2841,0.2326,0.3369,0.0134,0.001,2.7001,0.2413,0.4701,0.2777,0.5177,0.2453,0.4774
20,4.1566,0.2354,0.383,0.014,0.0012,3.5231,3.2113,0.2338,0.3356,0.0134,0.001,2.6275,0.2458,0.4773,0.2824,0.5233,0.251,0.4837
21,4.0558,0.234,0.3755,0.014,0.001,3.4314,3.1341,0.2293,0.3321,0.0134,0.0011,2.5583,0.2614,0.494,0.2999,0.5403,0.2672,0.5024
22,4.0492,0.2349,0.3715,0.0139,0.0009,3.428,3.0138,0.2334,0.3197,0.0133,0.0009,2.4465,0.2476,0.4813,0.2827,0.5247,0.2509,0.4899
23,3.9436,0.235,0.3718,0.0139,0.0009,3.322,2.9782,0.2323,0.3205,0.0133,0.001,2.4111,0.264,0.495,0.2972,0.5378,0.2708,0.5038
24,3.7523,0.234,0.362,0.0138,0.0006,3.1419,2.9243,0.2309,0.317,0.0132,0.001,2.3622,0.2676,0.4925,0.3001,0.5351,0.2735,0.5
25,3.703,0.2339,0.3623,0.0138,0.0009,3.092,2.8737,0.2333,0.3115,0.0132,0.0011,2.3145,0.2692,0.4936,0.3003,0.5351,0.2753,0.5003
26,3.7375,0.2336,0.3611,0.0138,0.0008,3.1281,2.8051,0.2331,0.3117,0.0132,0.0012,2.246,0.2786,0.4985,0.3085,0.5375,0.2833,0.5063
27,3.6048,0.2352,0.3553,0.0138,0.001,2.9995,2.7798,0.233,0.3077,0.0132,0.0011,2.2248,0.2776,0.4965,0.3097,0.5368,0.2835,0.5028
28,3.5353,0.2331,0.3551,0.0138,0.0009,2.9323,2.6879,0.236,0.3092,0.0132,0.0011,2.1284,0.2828,0.5035,0.3159,0.5403,0.2903,0.5108
29,3.5281,0.2337,0.3547,0.0136,0.0011,2.9249,2.6969,0.2317,0.3125,0.0131,0.001,2.1387,0.2824,0.5117,0.3176,0.551,0.285,0.5184
